Title,Author,Category,Publisher,Language,ISBN,Year,Pages,ShelfRowNo,Image,DateAdded,Type,Available,Price,HasPdf,Description,BookID,
PHP Reference: Beginner to Intermediate PHP5,Mario Lurig,Literature,Mario Lurig,English,143571590X,2008,164,,System.Byte[],22/04/2015,Hardcopy Only,True,10,False,"A collection of over 250 PHP functions with clear explanations in language anyone can understand, followed with as many examples as it takes to understand what the function does and how it works. This book includes numerous additional tips, the basics of PHP, MySQL query examples, regular expressions syntax, and two indexes to help you find information faster: a common language index and a function index. When the internet is not around or you want a simpler explanation along with all the technical details, this book has all of that and more.",1,
Programming PHP,"Kevin Tatroe, Peter MacIntyre, Rasmus Lerdorf",Literature,""O'Reilly Media, Inc."",English,1449365833,2013,540,,System.Byte[],22/04/2015,Hardcopy Only,True,20,False,"This updated edition teaches everything you need to know to create effective web applications with the latest features in PHP 5.x. Youâ€™ll start with the big picture and then dive into language syntax, programming techniques, and other details, using examples that illustrate both correct usage and common idioms. If you have a working knowledge of HTML, the authorsâ€™ many style tips and practical programming advice will help you become a top-notch PHP programmer. Get an overview of whatâ€™s possible with PHP programs Learn language fundamentals, including data types, variables, operators, and flow control statements Understand functions, strings, arrays, and objects Apply common web application techniques, such as form processing, data validation, session tracking, and cookies Interact with relational databases like MySQL or NoSQL databases such as MongoDB Generate dynamic images, create PDF files, and parse XML files Learn secure scripts, error handling, performance tuning, and other advanced topics Get a quick reference to PHP core functions and standard extensions",2,
"Learning PHP, MySQL, JavaScript, and CSS",Robin Nixon,Literature,""O'Reilly Media, Inc."",English,1449319262,2012,556,,System.Byte[],22/04/2015,Hardcopy Only,True,10,False,"Provides information on creating interactive Web sites using a combination of PHP, MySQL, JavaScript, and CSS.",3,
Object-Oriented PHP2,Peter Lavin,Literature,No Starch Press,English,1593270771,2006,216,,System.Byte[],22/04/2015,Hardcopy Only,False,0,False,"Presents an introduction to PHP and object-oriented programming, with information on such topics as classes, inheritance, RSS readers, and XML.",4,
Pro PHP MVC2,Chris Pitt,Literature,Apress,English,1430241640,2012,500,,System.Byte[],22/04/2015,Hardcopy Only,True,0,False,"Model View Controller (MVC) is becoming the definitive architecture of website development frameworks due to the stability, extensibility and predictability it lends to development. It is not just the primary separation of database, business logic and interface components, but includes a wide range of considerations for building high-performing, scalable and secure applications. Deciding which MVC framework best suits the project you are about to begin is one of the biggest challenges you'll face as a developer. If you are part of a team, this decision has probably already been made for you; but in any event, you'll need to know how (and why) the framework authors made it work the way it does. Pro PHP MVC looks at the building blocks that make any good MVC framework, and how they apply to PHP. It exposes all considerations that many developers take for granted when using a popular framework, and teaches you how to make the framework your own. Over the course of reading this book, you will learn the theoretical implications of the choices you would make when writing your own MVC framework, and how to put the pieces together in a cohesive package. We take a look at the highly modular Zend Frameworkâ€”how to use its collection of loosely coupled classes to build a unified system. We also look at CakePHP, learning from its automated build system (Bakery) and highly intuitive approach to rapid development. This book will lay bare all the secret parts of MVC for you. What youâ€™ll learn The best way to structure your application files How to get from a URL to the right controller/action Cleanly interact with data objects Efficient use of server resources in content delivery Useful shared class libraries to speed up development Unit testing to ensure maximum stability Who this book is for This book is for beginners and advanced developers alike, requiring a basic understanding of PHP5 language features and SQL. If you want to improve your PHP skills, or share the wisdom of popular PHP MVC frameworks, this book will be invaluable to you.",5,
Pro PHP MVC3,Chris Pitt,Literature,Apress,English,1430241640,2012,500,,System.Byte[],22/04/2015,Hardcopy Only,True,0,False,"Model View Controller (MVC) is becoming the definitive architecture of website development frameworks due to the stability, extensibility and predictability it lends to development. It is not just the primary separation of database, business logic and interface components, but includes a wide range of considerations for building high-performing, scalable and secure applications. Deciding which MVC framework best suits the project you are about to begin is one of the biggest challenges you'll face as a developer. If you are part of a team, this decision has probably already been made for you; but in any event, you'll need to know how (and why) the framework authors made it work the way it does. Pro PHP MVC looks at the building blocks that make any good MVC framework, and how they apply to PHP. It exposes all considerations that many developers take for granted when using a popular framework, and teaches you how to make the framework your own. Over the course of reading this book, you will learn the theoretical implications of the choices you would make when writing your own MVC framework, and how to put the pieces together in a cohesive package. We take a look at the highly modular Zend Frameworkâ€”how to use its collection of loosely coupled classes to build a unified system. We also look at CakePHP, learning from its automated build system (Bakery) and highly intuitive approach to rapid development. This book will lay bare all the secret parts of MVC for you. What youâ€™ll learn The best way to structure your application files How to get from a URL to the right controller/action Cleanly interact with data objects Efficient use of server resources in content delivery Useful shared class libraries to speed up development Unit testing to ensure maximum stability Who this book is for This book is for beginners and advanced developers alike, requiring a basic understanding of PHP5 language features and SQL. If you want to improve your PHP skills, or share the wisdom of popular PHP MVC frameworks, this book will be invaluable to you.",6,
Modern PHP,Josh Lockhart,Literature,Oreilly & Associates Incorporated,English,9781491905012,2015,250,,System.Byte[],22/04/2015,Hardcopy Only,True,0,False,"The PHP language is different than you remember. No longer just about procedural code and monolithic frameworks, PHP has experienced a renaissance to become a full-featured, mature language with object-orientation, namespaces, and a growing collection of reusable component libraries. Modern PHP reveals these new language features in action. Author Josh Lockhartâ€”creator of PHP The Right Way, a popular community initiativeâ€”shows you how to develop PHP applications using best practices for application architecture and planning, databases, security, testing, debugging, and deployment. Learn detailed, practical techniques that you can immediately implement in your PHP project Grow your PHP skillset with the newest language features and modern best practices Get up to speed on new language features of PHP 5.x (OOP, DateTime, namespaces, traits, and more) Discover the latest from the PHP community, including what's new with the Hack programming language and the HipHop Virtual Machine (HHVM) Find out how the new PHP has become a more mature language with community standards, a growing affinity for interoperable components, and a passionate community committed to improving performance.",7,
Advanced PHP for Web Professionals,Christopher Cosentino,Literature,Prentice Hall Professional,English,9780130085399,2003,339,,System.Byte[],22/04/2015,Hardcopy Only,True,10,False,"Take your PHP programming skills to the next level, with this hands-on, example-rich tutorial! In Advanced PHP for Web Professionals, best-selling PHP author Christopher Cosentino brings together dozens of powerful new techniques for building serious Web applications. Learn how to manage sessions more effectively, create better forms, develop custom error handlers, build database-independent Web applications with PEAR::DB, parse XML files, authenticate users via database query, build cross-platform client apps with PHP-GTK, and much more!",8,
Core PHP Programming,"Leon Atkinson, Zeev Suraski",Literature,Prentice Hall Professional,English,9780130463463,2004,1072,,System.Byte[],22/04/2015,Hardcopy Only,False,0,False,"Demonstrates the construction and deployment of robust Web applications, covering syntax, scripts, functions, sorting, searching, parsing, program design, and debugging.",9,
Node.js for PHP Developers,Daniel Howard,Literature,""O'Reilly Media, Inc."",English,1449333605,2012,269,,System.Byte[],22/04/2015,Hardcopy Only,True,30,False,"Demonstrates the remarkable similarities between Node.js and PHP, and teaches readers how to port an entire PHP web application to Node.js.",10,
